"","ensembl_gene_id","mgi_symbol"
"366","ENSMUSG00000062908","Acadm"
"367","ENSMUSG00000047554","Tmem41b"
"368","ENSMUSG00000082596","Gm14227"
"369","ENSMUSG00000085449","Gm15520"
"370","ENSMUSG00000059974","Ntm"
"371","ENSMUSG00000092283","Gm20412"
"372","ENSMUSG00000054693","Adam10"
"373","ENSMUSG00000040731","Eif4h"
"374","ENSMUSG00000085638","Gm15521"
"375","ENSMUSG00000097277","2900076A07Rik"
"376","ENSMUSG00000037606","Osbpl5"
"377","ENSMUSG00000025531","Chm"
"378","ENSMUSG00000087038","2900079G21Rik"
"379","ENSMUSG00000089718","2310075C17Rik"
"380","ENSMUSG00000045678","Olfr1489"
"381","ENSMUSG00000007877","Tcap"
"382","ENSMUSG00000085925","Rtl1"
"383","ENSMUSG00000025140","Pycr1"
"384","ENSMUSG00000053094","Tmem248"
"385","ENSMUSG00000054387","Mdm4"
"386","ENSMUSG00000038216","Pnmt"
"387","ENSMUSG00000007122","Casq1"
"388","ENSMUSG00000050276","Mrgprg"
"389","ENSMUSG00000057778","Cyb5d2"
"390","ENSMUSG00000092085","Gm17224"
"391","ENSMUSG00000038208","Pgap3"
"392","ENSMUSG00000096160","Gm3436"
"393","ENSMUSG00000032207","Lipc"
"394","ENSMUSG00000017167","Cntnap1"
"395","ENSMUSG00000035785","Cmtm2b"
"396","ENSMUSG00000030655","Smg1"
"397","ENSMUSG00000032504","Pdcd6ip"
"398","ENSMUSG00000051008","4930412M03Rik"
"399","ENSMUSG00000048965","Mrgpre"
"400","ENSMUSG00000038722","Bud31"
"401","ENSMUSG00000020538","Srebf1"
"402","ENSMUSG00000035172","Plekhh3"
"403","ENSMUSG00000047459","Dynlrb1"
"404","ENSMUSG00000053613","Notumos"
"405","ENSMUSG00000025141","Myadml2"
"406","ENSMUSG00000029624","Ptcd1"
"407","ENSMUSG00000084822","Myadml2os"
"408","ENSMUSG00000047797","Gjb1"
"409","ENSMUSG00000042988","Notum"
"410","ENSMUSG00000044052","Ccr10"
"411","ENSMUSG00000019907","Ppp1r12a"
"412","ENSMUSG00000031090","Nadsyn1"
"413","ENSMUSG00000082629","Gm5639"
"414","ENSMUSG00000061387","Olfr1490"
"415","ENSMUSG00000081544","Gm13077"
"416","ENSMUSG00000051156","Olfr1491"
"417","ENSMUSG00000043987","Cep164"
"418","ENSMUSG00000062115","Rai1"
"419","ENSMUSG00000007107","Atp1a4"
"420","ENSMUSG00000021250","Fos"
"421","ENSMUSG00000083487","Gm13888"
"422","ENSMUSG00000032204","Aqp9"
"423","ENSMUSG00000066232","Ipo7"
"424","ENSMUSG00000081253","Gm8501"
"425","ENSMUSG00000032127","Vps11"
"426","ENSMUSG00000031016","Wee1"
"427","ENSMUSG00000031993","Snx19"
"428","ENSMUSG00000061079","Zfp143"
"429","ENSMUSG00000081831","Gm7405"
"430","ENSMUSG00000013584","Aldh1a2"
"431","ENSMUSG00000031365","Zfp275"
"432","ENSMUSG00000028909","Ptpru"
"433","ENSMUSG00000002580","Mien1"
"434","ENSMUSG00000034032","Rpap1"
"435","ENSMUSG00000096966","Gm18336"
"436","ENSMUSG00000084835","Gm12352"
"437","ENSMUSG00000062312","Erbb2"
"438","ENSMUSG00000073867","AA474408"
"439","ENSMUSG00000097110","Gm26726"
"440","ENSMUSG00000031374","Zfp92"
"441","ENSMUSG00000031875","Cmtm3"
"442","ENSMUSG00000033392","Clasp2"
"443","ENSMUSG00000027602","Map1lc3a"
"444","ENSMUSG00000032199","Polr2m"
"445","ENSMUSG00000031144","Syp"
"446","ENSMUSG00000041361","Myzap"
"447","ENSMUSG00000087644","Gm14703"
"448","ENSMUSG00000092137","Gcom1"
"449","ENSMUSG00000025337","Sbds"
