"","gene","freq","hgnc_symbol"
"262","ensg00000142864",0.131904053715783,"SERBP1"
"263","ensg00000102144",0.131742081781102,"PGK1"
"264","ensg00000129084",0.131447587354409,"PSMA1"
"265","ensg00000130332",0.131344514305067,"LSM7"
"266","ensg00000256618",0.131167817649051,"MTRNR2L1"
"267","ensg00000150459",0.130946946829031,"SAP18"
"268","ensg00000166681",0.130431581582319,"BEX3"
"269","ensg00000108654",0.130240160204968,"DDX5"
"270","ensg00000065518",0.130107637712956,"NDUFB4"
"271","ensg00000148834",0.128959109448854,"GSTO1"
"272","ensg00000125968",0.128590991415487,"ID1"
"273","ensg00000179218",0.128414294759472,"CALR"
"274","ensg00000139343",0.12745718787272,"SNRPF"
"275","ensg00000100353",0.126941822626007,"EIF3D"
"276","ensg00000152082",0.126573704592641,"MZT2B"
"277","ensg00000206503",0.126411732657959,"HLA-A"
"278","ensg00000105185",0.126102513509932,"PDCD5"
"279","ensg00000142507",0.125984715739255,"PSMB6"
"280","ensg00000067225",0.125204305508518,"PKM"
"281","ensg00000167088",0.125027608852502,"SNRPD1"
"282","ensg00000107223",0.124188299736427,"EDF1"
"283","ensg00000135404",0.12407050196575,"CD63"
"284","ensg00000120438",0.123967428916408,"TCP1"
"285","ensg00000112081",0.1238790805884,"SRSF3"
"286","ensg00000143621",0.123481513112364,"ILF2"
"287","ensg00000100129",0.123452063669695,"EIF3L"
"288","ensg00000010278",0.122171012913581,"CD9"
"289","ensg00000014641",0.122156288192246,"MDH1"
"290","ensg00000102804",0.121743995994876,"TSC22D1"
"291","ensg00000106028",0.121582024060195,"SSBP1"
"292","ensg00000185088",0.121493675732187,"RPS27L"
"293","ensg00000044574",0.121302254354836,"HSPA5"
"294","ensg00000106211",0.120698540780116,"HSPB1"
"295","ensg00000134825",0.120462945238761,"TMEM258"
"296","ensg00000106355",0.120227349697407,"LSM5"
"297","ensg00000177700",0.118975748383962,"POLR2L"
"298","ensg00000067560",0.118342585366572,"RHOA"
"299","ensg00000075142",0.117738871791851,"SRI"
"300","ensg00000108953",0.117252955987808,"YWHAE"
"301","ensg00000099795",0.117238231266473,"NDUFB7"
"302","ensg00000176731",0.116163326609044,"C8orf59"
"303","ensg00000139684",0.115868832182351,"ESD"
"304","ensg00000125868",0.115854107461016,"DSTN"
"305","ensg00000213719",0.11507369723028,"CLIC1"
"306","ensg00000123131",0.114676129754244,"PRDX4"
"307","ensg00000087302",0.11466140503291,"C14orf166"
"308","ensg00000146731",0.114558331983567,"CCT6A"
"309","ensg00000154582",0.113954618408847,"ELOC"
"310","ensg00000117318",0.113939893687512,"ID3"
"311","ensg00000171530",0.113660123982154,"TBCA"
"312","ensg00000109390",0.113645399260819,"NDUFC1"
